userName,skor,at,text,cleaned_text
Hilleria Nababan,positive,2023-12-29 04:06:00,aplikasi nya bagus seler antar rumah kembali jual kadang kecewa truss beli eh tau dah gak cod,aplikasi nya bagus seler rumah jual kadang kecewa truss beli eh tau dah gak cod
Wahyu Hidayat,negative,2023-12-28 13:48:00,aplikasi nya tanggung karna salah jual yg kirim barang sesuai sana langsung hapus sistem cod aplikasi burunk,aplikasi nya tanggung karna salah jual yg kirim barang sesuai langsung hapus sistem cod aplikasi burunk
Ahmad Joko,negative,2023-12-28 13:41:00,tolong sistem cod akun blokir shopie bantu belanja codbayar bintang nya gak hapus shopee nya terima kasih perhati moga shopee bantu,tolong sistem cod akun blokir shopie bantu belanja codbayar bintang nya gak hapus shopee nya terima kasih perhati moga shopee bantu
Chandra,neutral,2023-12-27 12:29:00,expedisi shopee salah alamat kurir bingung kali pesan sistem cod,expedisi shopee salah alamat kurir bingung kali pesan sistem cod
Reza Amarulloh,positive,2023-12-27 12:23:00,selamat malam mhon maaf mu no kurir cantum dung kali sen cod gagal kurir dateng rumah berkalitpi hub beli gk hub kurir nya tolong cantum jga kasihan kurir jga jga klo dah jadi spa yg salah ny salah beli salah kurir salah beli lupa tdk titipin kurir salah tdk hub beli terima kasih,selamat malam mhon maaf mu no kurir cantum dung kali sen cod gagal kurir dateng rumah berkalitpi hub beli gk hub kurir nya tolong cantum jga kasihan kurir jga jga klo dah spa yg salah ny salah beli salah kurir salah beli lupa tdk titipin kurir salah tdk hub beli terima kasih
raduan asman,positive,2023-12-27 11:45:00,shopee mantap terima kasih layan baik moga depa suka cod cek gratis ongkir,shopee mantap terima kasih layan moga depa suka cod cek gratis ongkir
Ceng Cott,positive,2023-12-27 08:22:00,puas banget shopee toko yg ga cod ya ga pph puas aplikasi,puas banget shopee toko yg ga cod ya ga pph puas aplikasi
Pina Project,negative,2023-12-27 01:18:00,duh duh gimana shopee paket ga sampe2 ya kirim spx hemat jnt deh yg bikin kesel asik2 nya belanja shopee eh kek gin skrg dh tgl 27 lho estimasi tgl 23 kota prov paket 2 nyampe rumah ni gin ayo shopee kalo buka ekspedisi udah mahir abal2 kek gin ujung2 nya shopee jelek tuh y ga cod pake shopeepay lama2 pindah belah,duh duh gimana shopee paket ga sampe ya kirim spx hemat jnt deh yg bikin kesel asik nya belanja shopee eh kek gin skrg dh tgl lho estimasi tgl kota prov paket nyampe rumah ni gin ayo shopee kalo buka ekspedisi udah mahir abal kek gin ujung nya shopee jelek tuh y ga cod pake shopeepay pindah belah
Ronald Ashar87,positive,2023-12-26 15:23:00,puas dgn shopee belanja toko online yg nakal kirim brg karpet yg tdk mutu sobek cod tdk sangka shopee atas brg tsb kembali biayadan uang 100 terima kasih team magement shopeejaya shopee,puas dgn shopee belanja toko online yg nakal kirim brg karpet yg tdk mutu sobek cod tdk sangka shopee brg tsb biayadan uang terima kasih team magement shopeejaya shopee
Ayu Lianda,positive,2023-12-26 11:39:00,hai admin kirim barang order salah terima bayar keluarga cod begitumau aju kembali barang pesan tolong tindak lanjut alamat nama persis,hai admin kirim barang order salah terima bayar keluarga cod begitumau aju barang pesan tolong tindak alamat nama persis
Din Khaerudin,negative,2023-12-26 11:29:00,cod gak gara gara batalin pesan belanja gara gara batalin pesan doang cod nya langsung ilang,cod gak gara gara batalin pesan belanja gara gara batalin pesan doang cod nya langsung ilang
Lisna Wati,positive,2023-12-26 05:43:00,gak belanja 150 100 bawah cod cod nominal 200 300 toko aktif cod nya,gak belanja cod cod nominal toko aktif cod nya
mukhrodin kbm,negative,2023-12-25 15:49:00,parahpersen cod gagal penjualalasaanya bayar gagal gak kurir,parahpersen cod gagal penjualalasaanya bayar gagal gak kurir
Pamalawa Binua Km 30,negative,2023-12-25 11:52:00,1aplikasi megecewakan barang paket pemberitahuan terima pemberitahuan aplikasi barang nya rugi kouta prodak ungulan berbentukn vhoucer aplikasi hangus sia2 2 kurir jasa kirim sistem cod kerja aplikasi shopee tolak megantar barangpaket alamat,aplikasi megecewakan barang paket pemberitahuan terima pemberitahuan aplikasi barang nya rugi kouta prodak ungulan berbentukn vhoucer aplikasi hangus sia kurir jasa kirim sistem cod kerja aplikasi shopee tolak megantar barangpaket alamat
Fauzi Wowor,positive,2023-12-25 11:43:00,kurang aplikasi kirim alamat tuju nama kurir no telptidak hubung susah hubung diluarmengatur kirim yg cod statuspaket sdh diterimatetapi barang terima paket yg sdh bayar duluan,aplikasi kirim alamat tuju nama kurir no telptidak hubung susah hubung diluarmengatur kirim yg cod statuspaket sdh diterimatetapi barang terima paket yg sdh bayar duluan
Gadlani Ratih,positive,2023-12-25 10:11:00,sopee belanja mudah dn bikin neng sopee cod cek,sopee belanja mudah dn bikin neng sopee cod cek
PRIYATNA Ali,neutral,2023-12-25 05:22:00,ngk cod harga murah,ngk cod harga murah
Setan Alas,positive,2023-12-24 14:43:00,kl bs beli cod aj jd ngk ribet kl beli barang,kl bs beli cod aj jd ngk ribet kl beli barang
Alaika Rahma,negative,2023-12-24 14:05:00,akun batas nolak cod daftar shopelayter username isi tolong gimna solusi nya situ barang butuh,akun batas nolak cod daftar shopelayter username isi tolong gimna solusi nya situ barang butuh
Muhammad Fajar,negative,2023-12-24 12:39:00,antar ga jelaspaket lambat diantardengan alas beli adapercuma udah bayar non cod tinggal antarkalau payah campa aja halaman titip tetanggajangan alas beli tempat,ga jelaspaket lambat diantardengan alas beli adapercuma udah bayar non cod tinggal antarkalau payah campa aja halaman titip tetanggajangan alas beli
Secarik Kertas,positive,2023-12-24 10:41:00,aplikasi shopee ok punyatapi dar sarankalau jual bayar cod ditegaskananda serius bayar cod pilih ya hp pegang anak salah pencetbarang langsung kirim pesan mohon cod baharu thanks,aplikasi shopee ok punyatapi dar sarankalau jual bayar cod ditegaskananda serius bayar cod pilih ya hp pegang anak salah pencetbarang langsung kirim pesan mohon cod baharu thanks
Radit Saputra,positive,2023-12-24 07:14:00,puas sih klw shoppi klw cod gratis ongkir nya tingkat,puas sih klw shoppi klw cod gratis ongkir nya tingkat
Dani Cahyawardana,positive,2023-12-24 07:00:00,bagus cepat kirim kurir ramah cod jauh rumah,bagus cepat kirim kurir ramah cod rumah
Cahyadi bin rasna,negative,2023-12-24 05:54:00,gak jelaslog in suruh scan barcodetadi barcode gak screen scannya aplikasi nya sendiri gak buka scan buka barcode,gak jelaslog in suruh scan barcodetadi barcode gak screen scannya aplikasi nya gak buka scan buka barcode
Aan Riyadi,negative,2023-12-24 02:33:00,biaya layan biaya tangan mahal sekaliii bayar cod malas belanja gk uang shopee minus ya habis bakar bakar uang gitu,biaya layan biaya tangan mahal sekaliii bayar cod malas belanja gk uang shopee minus ya habis bakar bakar uang gitu
ãƒŠã‚¦ãƒ©,positive,2023-12-23 22:24:00,shopee kirim cepat voucher gratis ongkirnya ribeeetttt kaya baca rumus ipa sk toko belah mh gak cingcong gk pelit ongkir pake apk dana gak ribet kalo shopee cod mulu byk org yg gk rekening bank banyak pake dana anak sekolah kasih bintang 5 kirim,shopee kirim cepat voucher gratis ongkirnya ribeeetttt kaya baca rumus ipa sk toko belah mh gak cingcong gk pelit ongkir pake apk dana gak ribet kalo shopee cod mulu byk org yg gk rekening bank pake dana anak sekolah kasih bintang kirim
Daniel Passarella,positive,2023-12-23 20:43:00,belanja shopee emang enakgampangbs cod moga depan tingkat lg,belanja shopee emang enakgampangbs cod moga tingkat lg
Michelle R Lontaan,negative,2023-12-23 19:13:00,jujur gua kecewa ama shopee uda kali gua pesan paket yg via shopee pay trus via cod batal kesel banget gua udah nunggu ehh mala dibatalin gua standby trus rumah sebelum2nya gua pesan shopee baik2 aja akhir2 shopee ngak baikbaik aja emang shopee maap gua kasih rating bintang kalo udah baik kerja nya gua baik,jujur gua kecewa ama shopee uda kali gua pesan paket yg via shopee pay trus via cod batal kesel banget gua udah nunggu ehh mala dibatalin gua standby trus rumah gua pesan shopee aja shopee ngak baikbaik aja emang shopee maap gua kasih rating bintang kalo udah kerja nya gua
Ardi Prihadi,negative,2023-12-23 17:54:00,aplikasi ribet kalo login hp hp rusak udah ganti udah suruh login wa yakali wajib scan barcode pake hp,aplikasi ribet kalo login hp hp rusak udah ganti udah suruh login wa yakali wajib scan barcode pake hp
Lisa Mona,neutral,2023-12-23 14:49:00,gimana sih pesan paket cod ga kirim kirim gimana sih shopee tulis tuju gak sampe sampe gak cod bagaimanamentang mentang paket cod,gimana sih pesan paket cod ga kirim kirim gimana sih shopee tulis tuju gak sampe sampe gak cod bagaimanamentang mentang paket cod
ardi 90,neutral,2023-12-23 12:03:00,hp rusaktrus beli hp barumau login aplikasi shopee koq g bisaminta barcodepadahal hp ad aplikasi shopee rusaksaya gimana,hp rusaktrus beli hp barumau login aplikasi shopee koq g bisaminta barcodepadahal hp ad aplikasi shopee rusaksaya gimana
Dwarf Legolas,negative,2023-12-23 08:57:00,haddehhhpaket udah ga gerak cakung dc batal terang paket pengirimantolong shopee selagi paket sistem cod kalo ga kirim pilih menu jual nyamau pake jasa kirim spx jne,haddehhhpaket udah ga gerak cakung dc batal terang paket pengirimantolong shopee selagi paket sistem cod kalo ga kirim pilih menu jual nyamau pake jasa kirim spx jne
Cuplis Ponk,negative,2023-12-23 04:26:00,tolong awas blokir outlet yg jual barang harga yg sesuai barang yg tampil konsumen pesanmembeli beli virtual bukam cod pesan kemas cek toko tampil shopee pesan toko blokir shopee tayang blokir yg bikin kecewa cod toko yg barang sesuai,tolong awas blokir outlet yg jual barang harga yg sesuai barang yg tampil konsumen pesanmembeli beli virtual bukam cod pesan kemas cek toko tampil shopee pesan toko blokir shopee tayang blokir yg bikin kecewa cod toko yg barang sesuai
Putri Handani,positive,2023-12-23 03:44:00,suka belanja d shopee untk kbutuhan anak klau blnja udah 400 rb ngak cod ongkir nya jga mahal wilayah tpi ttap langgan kok,suka belanja d shopee untk kbutuhan anak klau blnja udah rb ngak cod ongkir nya jga mahal wilayah tpi ttap langgan
INDOFARM,positive,2023-12-23 01:33:00,lanjur sayang shopee  shopee  belanja cash  cod  kredit  pinjam duit jamin bunga rendah belanja shopee bikin nyaman hati tenang,lanjur sayang shopee shopee belanja cash cod kredit pinjam duit jamin bunga rendah belanja shopee bikin nyaman hati tenang
Bima Romadhon,negative,2023-12-22 17:54:00,tuk x kasih bintang 2 aja cb liat hasil reward pesanan2 pesan yg gagal yg batal pngirimannya dri ekspedisijgn mnyalah pmbelisharusnya yg slah dri jasa pngiriman yg tdk propesionalmau duit kerja 12ini yg nama propesional nd tnggung jawabyg akun beli blok tuk bayar codkan lucu shoppemknya bintang 2 aja lahkesel,tuk x kasih bintang aja cb liat hasil reward pesan pesan yg gagal yg batal pngirimannya dri ekspedisijgn mnyalah pmbelisharusnya yg slah dri jasa pngiriman yg tdk propesionalmau duit kerja yg nama propesional nd tnggung jawabyg akun beli blok tuk bayar codkan lucu shoppemknya bintang aja lahkesel
ORANG BIASA,negative,2023-12-22 13:39:00,maaf nanya shopee lot lelet paket cod konfirmasi gagal mulu bikin kesel jaring full paket data lumayan hp ram 8gb haduuuh lemooot repot,maaf nanya shopee lot lelet paket cod konfirmasi gagal mulu bikin kesel jaring full paket data lumayan hp ram gb haduuuh lemooot repot
Benesya 7,negative,2023-12-22 12:15:00,shopee skrg aneh bngt msak order cod gk kirim hubungin custamer service suruh trnfer kirim ngambil gudang gk bisaa kalo gk trnfer pket otomatis cancel sndirinyaa,shopee skrg aneh bngt msak order cod gk kirim hubungin custamer service suruh trnfer kirim ngambil gudang gk bisaa kalo gk trnfer pket otomatis cancel sndirinyaa
